"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"6128","Antarctica","Temperate Broadleaf and Mixed Forests",152.544229,-29.456153,30.3031940460205,57037.4988486533,18.1943950653076,396.211608886719,1125,52.2674522399902
"6129","Antarctica","Temperate Broadleaf and Mixed Forests",151.378761,-33.395555,34.6725425720215,52862.5368552116,17.4889736175537,374.527160644531,1299,28.776762008667
"6130","Antarctica","Temperate Broadleaf and Mixed Forests",152.696904,-28.380693,25.0984172821045,54117.1501981999,17.0763130187988,396.739624023438,1240,46.146556854248
"6131","Antarctica","Temperate Broadleaf and Mixed Forests",151.402918,-33.399134,36.1691665649414,32262.0962607101,17.4889736175537,374.527160644531,1299,28.776762008667
"6132","Antarctica","Temperate Broadleaf and Mixed Forests",151.406817,-33.359268,34.5400848388672,59615.9706001898,17.4889736175537,374.527160644531,1299,28.776762008667
"6133","Antarctica","Temperate Broadleaf and Mixed Forests",152.994079,-30.787754,33.1667518615723,NA,18.655216217041,370.006927490234,1434,43.8522491455078
"6134","Antarctica","Temperate Broadleaf and Mixed Forests",152.572774,-31.91157,NA,39254.7393993489,18.3358364105225,386.858825683594,1223,35.149772644043
"6135","Antarctica","Temperate Broadleaf and Mixed Forests",151.714204,-31.717873,24.6624164581299,65993.1492072287,15.7964162826538,437.968170166016,1110,41.2449150085449
"6136","Antarctica","Temperate Broadleaf and Mixed Forests",152.797495,-30.369615,40.0406112670898,57037.1934814564,16.8327808380127,388.607147216797,1727,48.8228149414062
"6137","Antarctica","Temperate Broadleaf and Mixed Forests",151.908211,-31.43071,23.6209278106689,61527.8624050441,14.2603855133057,434.594390869141,1178,41.1075973510742
"6138","Antarctica","Temperate Broadleaf and Mixed Forests",152.161924,-32.514476,33.6817054748535,62358.6260787903,17.8418579101562,390.971771240234,1209,25.6321678161621
"6139","Antarctica","Temperate Broadleaf and Mixed Forests",153.19269,-28.649379,29.5737495422363,51874.6861880565,18.3150825500488,374.527160644531,1606,47.3086013793945
"6140","Antarctica","Temperate Broadleaf and Mixed Forests",152.672723,-31.677667,40.5876655578613,57581.5776906432,18.1354007720947,364.856964111328,1405,36.2857475280762
"6141","Antarctica","Temperate Broadleaf and Mixed Forests",152.953322,-30.777197,33.5638885498047,59542.9939474842,18.655216217041,370.006927490234,1434,43.8522491455078
"6142","Antarctica","Temperate Broadleaf and Mixed Forests",152.40672,-29.686545,26.0861549377441,59265.9465044607,16.538969039917,408.640808105469,1101,47.5908660888672
"6143","Antarctica","Temperate Broadleaf and Mixed Forests",152.527693,-32.351723,NA,60651.2692223931,18.0987319946289,335.086212158203,1259,25.1427154541016
"6144","Antarctica","Temperate Broadleaf and Mixed Forests",150.416067,-35.254701,32.6162910461426,36712.8506379962,15.8727388381958,353.893646240234,1155,23.366720199585
"6145","Antarctica","Temperate Broadleaf and Mixed Forests",152.9815,-30.568594,39.5970840454102,60748.9378666369,18.4855480194092,371.129852294922,1580,46.1221580505371
"6146","Antarctica","Temperate Broadleaf and Mixed Forests",152.438331,-31.021994,37.2324981689453,64320.4270982994,15.5168857574463,393.6962890625,1450,47.882884979248
"6147","Antarctica","Temperate Broadleaf and Mixed Forests",152.3929,-29.326498,34.264347076416,54689.0540991676,16.6513023376465,402.892639160156,1085,48.7163734436035
"6148","Antarctica","Temperate Broadleaf and Mixed Forests",153.059268,-30.220418,42.4167518615723,43806.7565927857,18.4265766143799,365.715881347656,1660,45.9088821411133
"6149","Antarctica","Temperate Broadleaf and Mixed Forests",152.580507,-28.57439,17.9138336181641,55163.2038530765,17.58376121521,412.715606689453,1108,46.5958518981934
"6150","Antarctica","Temperate Broadleaf and Mixed Forests",152.688407,-30.678932,37.9220848083496,55022.032597968,18.1063957214355,378.185668945312,1404,47.667652130127
"6151","Antarctica","Temperate Broadleaf and Mixed Forests",151.696339,-32.587208,26.1597785949707,53323.4397801207,17.8058013916016,415.13330078125,1069,33.638729095459
"6152","Antarctica","Temperate Broadleaf and Mixed Forests",151.173823,-32.862466,23.2501049041748,62121.5023430844,16.6793231964111,426.123229980469,911,31.5428047180176
"6153","Antarctica","Temperate Broadleaf and Mixed Forests",152.519053,-31.038893,29.25608253479,58675.3907751087,17.2647819519043,378.648132324219,1408,47.8957595825195
"6154","Antarctica","Temperate Broadleaf and Mixed Forests",151.987525,-32.19301,28.7185955047607,60589.0903537684,17.2924785614014,415.478210449219,1126,39.3160667419434
"6155","Antarctica","Temperate Broadleaf and Mixed Forests",152.673362,-29.989231,33.7538795471191,58461.5482344914,17.9421672821045,392.781280517578,1281,52.0009651184082
"6156","Antarctica","Temperate Broadleaf and Mixed Forests",153.193286,-29.171102,29.115083694458,58711.2592060519,19.0023441314697,365.924926757812,1303,41.1529579162598
"6157","Antarctica","Temperate Broadleaf and Mixed Forests",152.05156,-32.297834,30.8494167327881,60908.4616902767,16.660062789917,394.178009033203,1148,36.4127616882324
"6158","Antarctica","Temperate Broadleaf and Mixed Forests",152.626672,-30.577698,36.7938346862793,55712.2296436555,16.4922714233398,385.565490722656,1506,49.4072570800781
"6159","Antarctica","Temperate Broadleaf and Mixed Forests",153.021511,-28.405823,37.8981666564941,53495.26379445,16.7734260559082,381.390075683594,1554,46.8060646057129
"6160","Antarctica","Temperate Broadleaf and Mixed Forests",152.490776,-29.272719,29.0740718841553,53276.3399436769,16.6513023376465,402.892639160156,1085,48.7163734436035
"6161","Antarctica","Temperate Broadleaf and Mixed Forests",152.754987,-28.660018,37.4118804931641,51866.661138123,17.6786556243896,394.393646240234,1201,47.8652610778809
"6162","Antarctica","Temperate Broadleaf and Mixed Forests",152.875052,-30.638848,30.9583492279053,53230.2539263268,18.4855480194092,371.129852294922,1580,46.1221580505371
"6163","Antarctica","Temperate Broadleaf and Mixed Forests",152.689644,-31.103645,29.3715705871582,31194.4653597034,18.3420734405518,385.339538574219,1312,43.957633972168
"6164","Antarctica","Temperate Broadleaf and Mixed Forests",151.263708,-32.242194,26.1947917938232,61645.7707870958,15.7997598648071,447.5458984375,1069,28.7784309387207
"6165","Antarctica","Temperate Broadleaf and Mixed Forests",152.259955,-32.344155,29.9588031768799,55996.8013344096,17.8216667175293,380.050018310547,1171,27.5784530639648
"6166","Antarctica","Temperate Broadleaf and Mixed Forests",153.114891,-30.224186,36.5743789672852,50990.0099357046,18.4265766143799,365.715881347656,1660,45.9088821411133
"6167","Antarctica","Temperate Broadleaf and Mixed Forests",153.542,-28.53093,35.448917388916,31406.9490162946,19.6928997039795,344.521697998047,1770,39.2798385620117
"6168","Antarctica","Temperate Broadleaf and Mixed Forests",152.337871,-28.746678,29.1792907714844,58325.1040635903,17.4473743438721,414.92138671875,1027,47.5906829833984
"6169","Antarctica","Temperate Broadleaf and Mixed Forests",151.775654,-32.254731,28.1601657867432,58065.749595953,16.5184059143066,416.726989746094,1257,39.2077484130859
"6170","Antarctica","Temperate Broadleaf and Mixed Forests",151.557235,-32.85898,27.4448642730713,58916.8385103222,17.634937286377,401.298736572266,1040,30.3178424835205
"6171","Antarctica","Temperate Broadleaf and Mixed Forests",153.116306,-30.021857,34.4623336791992,57142.8505315701,18.1858654022217,366.602600097656,1495,45.1844787597656
"6172","Antarctica","Temperate Broadleaf and Mixed Forests",151.632049,-32.15667,27.7357978820801,58136.7230398472,13.7129373550415,431.614227294922,1342,31.436128616333
"6173","Antarctica","Temperate Broadleaf and Mixed Forests",150.578516,-35.041316,33.5339813232422,62556.9742878389,16.5124683380127,349.05859375,1159,23.3415012359619
